순위,가수이름,노래제목
1,NewJeans,Super Shy
2,(여자)아이들,퀸카 (Queencard)
3,IVE (아이브),I AM
4,박재정,헤어지자 말해요
5,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
6,aespa,Spicy
7,임영웅,사랑은 늘 도망가
8,임영웅,모래 알갱이
9,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
10,IVE (아이브),Kitsch
11,임영웅,우리들의 블루스
12,Lauv,Steal The Show (From “엘리멘탈”)
13,임영웅,다시 만날 수 있을까
14,NewJeans,Hype boy
15,임영웅,무지개
16,임영웅,이제 나만 믿어요
17,임영웅,London Boy
18,임영웅,Polaroid
19,임영웅,아버지
20,NewJeans,Ditto
21,임영웅,인생찬가
22,임영웅,A bientot
23,임영웅,손이 참 곱던 그대
24,임영웅,사랑해 진짜
25,세븐틴 (SEVENTEEN),손오공
26,임영웅,연애편지
27,지수 (JISOO),꽃
28,NewJeans,OMG
29,임영웅,보금자리
30,FIFTY FIFTY,Cupid
31,EXO,Cream Soda
32,NewJeans,New Jeans
33,NewJeans,Attention
34,윤하 (YOUNHA),사건의 지평선
35,Charlie Puth,I Don't Think That I Like Her
36,방탄소년단,Dynamite
37,IVE (아이브),After LIKE
38,Charlie Puth,Dangerously
39,정국,Still With You
40,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
41,허각,물론
42,DK(디셈버),심(心)
43,ZEROBASEONE (제로베이스원),In Bloom
44,방탄소년단,Take Two
45,IVE (아이브),LOVE DIVE
46,임한별,사랑하지 않아서 그랬어
47,(여자)아이들,Allergy
48,방탄소년단,Butter
49,STAYC(스테이씨),Teddy Bear
50,IVE (아이브),I WANT
51,지민,Like Crazy
52,지아,사랑..그게 뭔데
53,Agust D,사람 Pt.2 (feat. 아이유)
54,방탄소년단,봄날
55,멜로망스,사랑인가 봐
56,탑현,나에게 그대만이
57,LE SSERAFIM (르세라핌),ANTIFRAGILE
58,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
59,NCT DREAM,Candy
60,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
61,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
62,방탄소년단,Permission to Dance
63,성시경,너의 모든 순간
64,EXO,Hear Me Out
65,임재현,Heaven(2023)
66,이무진,잠깐 시간 될까
67,"Fast & Furious: The Fast Saga, 지민","Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)"
68,던 (DAWN),빛이 나는 너에게
69,방탄소년단,The Planet
70,EXO,Let Me In
71,김민석 (멜로망스),취중고백
72,김호중,그중에 그대를 만나
73,케이시 (Kassy),사실말야내가말야그게그러니까말이야
74,김민석 (멜로망스),예뻤어 (여름날 우리 X 김민석 (멜로망스))
75,imase,NIGHT DANCER
76,경서,첫 키스에 내 심장은 120BPM
77,Charlie Puth,That's Hilarious
78,제이세라,사랑의 바보
79,멜로망스,찬란한 하루
80,SHINee (샤이니),HARD
81,#안녕,해요 (2022)
82,ZEROBASEONE (제로베이스원),New Kidz on the Block
83,"The Kid LAROI, Justin Bieber",STAY
84,"j-hope, J. Cole",on the street (with J. Cole)
85,(여자)아이들,TOMBOY
86,aespa,Thirsty
87,(여자)아이들,Nxde
88,이채연,KNOCK
89,테이,Monologue
90,"경서예지, 전건호",다정히 내 이름을 부르면
91,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
92,ZEROBASEONE (제로베이스원),우주먼지 (and I)
93,V.O.S,안녕이라고 말하지마
94,NCT DREAM,Broken Melodies
95,EXO,Cinderella
96,ZEROBASEONE (제로베이스원),Our Season
97,EXO,Regret It
98,10CM,그라데이션
99,ZEROBASEONE (제로베이스원),Back to ZEROBASE
100,EXO,No Makeup
